Model,Cluster,Multistage,Simple Random,Stratified,Systematic
GradientBoost,0.9803921568627451,0.9947916666666666,0.961038961038961,0.9934640522875817,0.6875
KNgb,0.8627450980392157,0.8125,0.7922077922077922,0.8366013071895425,0.5
LogReg,0.9313725490196079,0.9010416666666666,0.8441558441558441,0.9084967320261438,0.875
RandomForest,0.9901960784313726,0.9895833333333334,0.974025974025974,1.0,0.75
SVM,0.6895424836601307,0.6197916666666666,0.6233766233766234,0.6928104575163399,0.5625
